,Activity,Location,Impact Category,Baseline 2025,Baseline 2040,Baseline Change,Baseline % Change,VSI 2025,VSI 2040,VSI Change,VSI % Change,VSI to baseline change,VSI to baseline change %,SSP,Activity Group,Impact Short
0,"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'terrestrial ecotoxicity', 'TETPinf')",0.0036969398781495,0.0033785087634684,-0.0003184311146810998,-8.613370116272764,0.0036974871516598,0.0025037551538268,-0.0011937319978329998,-32.284953236338744,-0.0008747536096416,-23.7,SSP1,Nickel,terrestrial ecotoxicity
1,"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'natural land transformation', 'NLTP')",0.0008337729146293,0.0007809848056482,-5.278810898109998e-05,-6.331233367609436,0.0008337452032577,0.0007809735462937,-5.277165696400009e-05,-6.329470533420153,-1.1259354500072101e-08,0.0,SSP1,Nickel,natural land transformation
2,"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'photochemical oxidant formation', 'POFP')",0.6119665261285606,0.6099746387470033,-0.0019918873815573113,-0.3254895973082782,0.611966729999071,0.0389750267282067,-0.5729917032708642,-93.63118535410153,-0.5709996120187966,-93.3,SSP1,Nickel,photochemical oxidant formation
3,"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'human toxicity', 'HTPinf')",11.223101234602492,10.514622838458427,-0.7084783961440646,-6.312679368512869,11.22315847918391,9.156265888418886,-2.0668925907650237,-18.416318317152708,-1.358356950039541,-12.1,SSP1,Nickel,human toxicity
4,"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'marine eutrophication', 'MEP')",0.0067878957488737,0.0057603934755705,-0.0010275022733032008,-15.137272452566641,0.0067880576404315,0.0054770488165868,-0.0013110088238446997,-19.313460393087677,-0.0002833446589836997,-4.2,SSP1,Nickel,marine eutrophication
5,"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'climate change', 'GWP100')",8.0669654748032,7.38582146994075,-0.6811440048624489,-8.443621173165686,8.067031094953467,7.281291359076993,-0.7857397358764739,-9.740135207462048,-0.10453011086375685,-1.3,SSP1,Nickel,climate change
6,"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'particulate matter formation', 'PMFP')",1.4740469420180105,1.4689070058211775,-0.0051399361968329504,-0.34869555713037453,1.474047080556034,0.0560943100845227,-1.4179527704715111,-96.1945374184817,-1.4128126957366547,-95.8,SSP1,Nickel,particulate matter formation
7,"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'agricultural land occupation', 'ALOP')",0.2471371811752604,0.4078415608513023,0.1607043796760419,65.02638692883545,0.2471621713663001,0.4078710898080658,0.1607089184417657,65.02164856109447,2.9528956763502645e-05,-0.0,SSP1,Nickel,agricultural land occupation
8,"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'freshwater eutrophication', 'FEP')",0.0043136584323094,0.003280868979842,-0.0010327894524674,-23.942309496083038,0.0043136686915476,0.0032808876448388,-0.0010327810467088,-23.942057690533314,1.8664996800314e-08,0.0,SSP1,Nickel,freshwater eutrophication
9,"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'metal depletion', 'MDP')",57.88811458135493,57.89873294905195,0.010618367697020403,0.0183429150764576,57.88811759343843,57.89874155883663,0.010623965398202984,0.01835258398419091,8.609784686086641e-06,0.0,SSP1,Nickel,metal depletion
