,project_name,db_name,activity_id,activity_name,activity_unit,activity_location,impact_method,impact_category,impact_indicator,sub_activity_id,sub_activity,sub_activity_unit,sub_activity_location,value,percentage,total_impact,exchange_type,compartment,sub_compartment,production_amount,production_unit,production_location,activity_categories
0,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', 'c4b52d03dcf6c46f8e020d037098c950')","market for soda ash, light, crystalline, heptahydrate",kilogram,GLO,0.00011514109568308701,41.15178723102693,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
1,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '4c244496d59b6b63e4a1e8035b08e57f')","market for lithium brine, 6.7 % Li",kilogram,GLO,7.699128212067126e-05,27.516924705965128,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
2,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', 'eb98d932d77cdb68c958200e11eedc76')","market for hydrochloric acid, without water, in 30% solution state",kilogram,RoW,1.6816419250180325e-05,6.010240764738678,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
3,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', 'bbec888be3ba3103fb7fdef5344a5304')","market for chemical factory, organics",unit,GLO,1.653628855947904e-05,5.910121180916504,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
4,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '6f0c663c6779892c89c4f6ae1e488621')","market group for electricity, medium voltage",kilowatt hour,GLO,1.559556444660543e-05,5.573903444699861,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
5,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '2a0d58014ba9ef602e3afe362777d8b4')",market for decarbonising waste,kilogram,RoW,1.5341720501709948e-05,5.483178825933202,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
6,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '4d897d9709b7282dfae394368a8a8bce')","market for diesel, burned in building machine",megajoule,GLO,7.200679518131924e-06,2.5735453505199257,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
7,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', 'a39fae0ac7b85f6d8f42258b0bc6f62f')",market for sulfuric acid,kilogram,RoW,4.135598871993469e-06,1.4780759540587638,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
8,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', 'a5534e72e80ffb4337474377f9941d99')","market for hydrochloric acid, without water, in 30% solution state",kilogram,RER,3.3694651461541347e-06,1.2042573674871118,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
9,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '4b60443af9fff09f6d18e4188c7031d8')","market group for heat, district or industrial, natural gas",megajoule,GLO,3.2131363657273327e-06,1.148384973082282,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
10,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '940a75147e77d4e96173c46b776b2993')","market for quicklime, milled, loose",kilogram,RoW,2.7481416500246217e-06,0.9821944093167803,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
11,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '1337814be4630cec37efb1a4c42c97a6')",market for activated bentonite,kilogram,GLO,2.1060163196758775e-06,0.75269681062365,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
12,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', 'd48c15a567f85ccaf9a4bbaef5634b61')",market for sulfuric acid,kilogram,RER,2.9333255361847486e-07,0.10483797086372872,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
13,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '4c13e862fb0a4ee7623bba51c3258936')",market for 2-methyl-2-butanol,kilogram,GLO,1.3646062310525642e-07,0.048771452921528353,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
14,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '763a313e06d0f9a5116305b93312c90d')",market for decarbonising waste,kilogram,CH,1.346956638000577e-07,0.048140650953142815,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
15,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '5b64503ebe2c3c8ae655f54a747b59f8')","market for sodium hydroxide, without water, in 50% solution state",kilogram,GLO,2.0063490655376407e-08,0.0071707542269204404,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
16,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '11dde585519e969416ed6bb732f11322')","market for hazardous waste, for underground deposit",kilogram,RoW,9.067352114108236e-09,0.0032406999667226053,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
17,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '2090799cb07b6d9467c7cbc5579f9555')","market for quicklime, milled, loose",kilogram,CH,4.369273601589959e-09,0.0015615920322806511,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
18,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '44ca0d82141ddc71d3db623dd1773a4f')","market for solvent, organic",kilogram,GLO,2.229710535171307e-09,0.0007969055095905855,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
19,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '08971b508f1d31ba20e2f64050a50169')","market for hazardous waste, for underground deposit",kilogram,RER,4.727299404082116e-10,0.00016895515723559597,0.0002797960998308109,technosphere,,,1.0,kilogram,GLO,
20,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('ecoinvent 3.8 cutoff', '4c244496d59b6b63e4a1e8035b08e57f')","market for lithium brine, 6.7 % Li",kilogram,GLO,0.000642001861874119,105.31630486423298,0.0006095939870865641,technosphere,,,1.0,kilogram,GLO,
21,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('ecoinvent 3.8 cutoff', 'c4b52d03dcf6c46f8e020d037098c950')","market for soda ash, light, crystalline, heptahydrate",kilogram,GLO,0.00013680185867305788,22.441471138335164,0.0006095939870865641,technosphere,,,1.0,kilogram,GLO,
22,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('ecoinvent 3.8 cutoff', '4d897d9709b7282dfae394368a8a8bce')","market for diesel, burned in building machine",megajoule,GLO,6.021409344498447e-05,9.877737431887413,0.0006095939870865641,technosphere,,,1.0,kilogram,GLO,
23,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('ecoinvent 3.8 cutoff', '6f0c663c6779892c89c4f6ae1e488621')","market group for electricity, medium voltage",kilowatt hour,GLO,5.2823729141876846e-05,8.665395371489403,0.0006095939870865641,technosphere,,,1.0,kilogram,GLO,
24,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('ecoinvent 3.8 cutoff', '4b60443af9fff09f6d18e4188c7031d8')","market group for heat, district or industrial, natural gas",megajoule,GLO,2.7201728449154715e-05,4.462269809969761,0.0006095939870865641,technosphere,,,1.0,kilogram,GLO,
25,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('ecoinvent 3.8 cutoff', 'bbec888be3ba3103fb7fdef5344a5304')","market for chemical factory, organics",unit,GLO,1.9740548164111132e-05,3.238310840049004,0.0006095939870865641,technosphere,,,1.0,kilogram,GLO,
26,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('ecoinvent 3.8 cutoff', '940a75147e77d4e96173c46b776b2993')","market for quicklime, milled, loose",kilogram,RoW,8.018047711440034e-06,1.3153095144131477,0.0006095939870865641,technosphere,,,1.0,kilogram,GLO,
27,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('ecoinvent 3.8 cutoff', 'eb98d932d77cdb68c958200e11eedc76')","market for hydrochloric acid, without water, in 30% solution state",kilogram,RoW,4.7416820644463915e-06,0.7778426567342533,0.0006095939870865641,technosphere,,,1.0,kilogram,GLO,
28,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('ecoinvent 3.8 cutoff', '1337814be4630cec37efb1a4c42c97a6')",market for activated bentonite,kilogram,GLO,2.5189615296059183e-06,0.4132195498916918,0.0006095939870865641,technosphere,,,1.0,kilogram,GLO,
29,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('ecoinvent 3.8 cutoff', 'a39fae0ac7b85f6d8f42258b0bc6f62f')",market for sulfuric acid,kilogram,RoW,1.6001937695070556e-06,0.26250156717504225,0.0006095939870865641,technosphere,,,1.0,kilogram,GLO,
30,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('ecoinvent 3.8 cutoff', 'a5534e72e80ffb4337474377f9941d99')","market for hydrochloric acid, without water, in 30% solution state",kilogram,RER,6.507990596247061e-07,0.10675942896600304,0.0006095939870865641,technosphere,,,1.0,kilogram,GLO,
31,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('ecoinvent 3.8 cutoff', '4c13e862fb0a4ee7623bba51c3258936')",market for 2-methyl-2-butanol,kilogram,GLO,3.1761133454054616e-07,0.052102110793203156,0.0006095939870865641,technosphere,,,1.0,kilogram,GLO,
32,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('ecoinvent 3.8 cutoff', 'd48c15a567f85ccaf9a4bbaef5634b61')",market for sulfuric acid,kilogram,RER,1.0581591726979234e-07,0.017358425363661955,0.0006095939870865641,technosphere,,,1.0,kilogram,GLO,
33,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('ecoinvent 3.8 cutoff', '2090799cb07b6d9467c7cbc5579f9555')","market for quicklime, milled, loose",kilogram,CH,6.644430848027243e-08,0.010899764414972346,0.0006095939870865641,technosphere,,,1.0,kilogram,GLO,
34,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('ecoinvent 3.8 cutoff', '5b64503ebe2c3c8ae655f54a747b59f8')","market for sodium hydroxide, without water, in 50% solution state",kilogram,GLO,3.695075246300494e-08,0.0060615349307501995,0.0006095939870865641,technosphere,,,1.0,kilogram,GLO,
35,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('ecoinvent 3.8 cutoff', '44ca0d82141ddc71d3db623dd1773a4f')","market for solvent, organic",kilogram,GLO,2.7377585196178176e-08,0.004491117986091696,0.0006095939870865641,technosphere,,,1.0,kilogram,GLO,
