,project_name,db_name,activity_id,activity_name,activity_unit,activity_location,impact_method,impact_category,impact_indicator,sub_activity_id,sub_activity,sub_activity_unit,sub_activity_location,value,percentage,total_impact,exchange_type,compartment,sub_compartment,production_amount,production_unit,production_location,activity_categories
0,LNV-EI38-20250414,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', 'ac80cf413845bda6587f576899e27405')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '232b1cb81b424c738ed7935661b930c9')","market for sulfur dioxide, liquid",kilogram,RoW,3.4412147054759464e-05,38.70821872981126,8.890139661285121e-05,technosphere,,,1.0,kilogram,GLO,
1,LNV-EI38-20250414,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', 'ac80cf413845bda6587f576899e27405')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', 'bbec888be3ba3103fb7fdef5344a5304')","market for chemical factory, organics",unit,GLO,1.653628855947904e-05,18.600707288650877,8.890139661285121e-05,technosphere,,,1.0,kilogram,GLO,
2,LNV-EI38-20250414,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', 'ac80cf413845bda6587f576899e27405')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', 'a5c10e1e40fcac7f5caf6d23f6b96671')",market for manganese concentrate,kilogram,GLO,1.5951746537064253e-05,17.943190033932872,8.890139661285121e-05,technosphere,,,1.0,kilogram,GLO,
3,LNV-EI38-20250414,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', 'ac80cf413845bda6587f576899e27405')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '6f0c663c6779892c89c4f6ae1e488621')","market group for electricity, medium voltage",kilowatt hour,GLO,1.1185784154806591e-05,12.582236703792818,8.890139661285121e-05,technosphere,,,1.0,kilogram,GLO,
4,LNV-EI38-20250414,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', 'ac80cf413845bda6587f576899e27405')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', 'f501d0c779d513c8379ac9b2f2ba2003')","market for sulfur dioxide, liquid",kilogram,RER,5.6211532139467e-06,6.322907657374338,8.890139661285121e-05,technosphere,,,1.0,kilogram,GLO,
5,LNV-EI38-20250414,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', 'ac80cf413845bda6587f576899e27405')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', 'b395f9fb0346f0e2748a8984eb8d96f8')","market for heat, from steam, in chemical industry",megajoule,RoW,2.701676359116911e-06,3.0389582864285036,8.890139661285121e-05,technosphere,,,1.0,kilogram,GLO,
6,LNV-EI38-20250414,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', 'ac80cf413845bda6587f576899e27405')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '4b60443af9fff09f6d18e4188c7031d8')","market group for heat, district or industrial, natural gas",megajoule,GLO,2.33108401541696e-06,2.622100556606991,8.890139661285121e-05,technosphere,,,1.0,kilogram,GLO,
7,LNV-EI38-20250414,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', 'ac80cf413845bda6587f576899e27405')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', 'aadf25601b635d5a74cc41127b9f2215')","market for heat, from steam, in chemical industry",megajoule,RER,1.5613539190820316e-07,0.17562760300396998,8.890139661285121e-05,technosphere,,,1.0,kilogram,GLO,
8,LNV-EI38-20250414,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', 'ac80cf413845bda6587f576899e27405')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '295060ba-3c3d-45e4-99ca-e17b1204b553')",Manganese,kilogram,,2.454063410011496e-09,0.0027604329105182434,8.890139661285121e-05,biosphere,air,,1.0,kilogram,GLO,
9,LNV-EI38-20250414,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', 'ac80cf413845bda6587f576899e27405')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '2141353150490351d5d33cdd07fb6b8b')",market group for tap water,kilogram,GLO,2.0904173264789512e-09,0.0023513886239406607,8.890139661285121e-05,technosphere,,,1.0,kilogram,GLO,
