,project_name,db_name,activity_id,activity_name,activity_unit,activity_location,impact_method,impact_category,impact_indicator,sub_activity_id,sub_activity,sub_activity_unit,sub_activity_location,value,percentage,total_impact,exchange_type,compartment,sub_compartment,production_amount,production_unit,production_location,activity_categories
0,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '7cda65c3df621b568ba879edcfaab039')","treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', 'a11ce200a63a6c3653f3443ffb0951be')","market for metal part of electronics scrap, in copper, anode",kilogram,GLO,5.341118805007399e-05,85.35954858524266,6.25720132490344e-05,technosphere,,,1.0,kilogram,RoW,
1,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '7cda65c3df621b568ba879edcfaab039')","treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', 'a39fae0ac7b85f6d8f42258b0bc6f62f')",market for sulfuric acid,kilogram,RoW,2.8521607589205628e-06,4.558205195618469,6.25720132490344e-05,technosphere,,,1.0,kilogram,RoW,
2,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '7cda65c3df621b568ba879edcfaab039')","treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '96270cf63751b59b3d834fd61a8bcaca')","market group for electricity, high voltage",kilowatt hour,RAS,2.1045474568881506e-06,3.363400580563272,6.25720132490344e-05,technosphere,,,1.0,kilogram,RoW,
3,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '7cda65c3df621b568ba879edcfaab039')","treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', 'e336eee7-148a-4d1c-8027-780cbfafa12b')",Copper,kilogram,,2.0973318277366393e-06,3.3518688609064458,6.25720132490344e-05,biosphere,air,non-urban air or from high stacks,1.0,kilogram,RoW,
4,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '7cda65c3df621b568ba879edcfaab039')","treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '4be3a0190d123daa28a84350792ba054')","market group for electricity, high voltage",kilowatt hour,RNA,7.508804120234898e-07,1.2000259749275006,6.25720132490344e-05,technosphere,,,1.0,kilogram,RoW,
5,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '7cda65c3df621b568ba879edcfaab039')","treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', 'e8fc62ba-678e-4706-97d2-b79d83e227d5')",Nickel,kilogram,,6.010565340548673e-07,0.9605836584843189,6.25720132490344e-05,biosphere,air,non-urban air or from high stacks,1.0,kilogram,RoW,
6,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '7cda65c3df621b568ba879edcfaab039')","treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '1342c859e984529232478c533ca23216')","market group for electricity, high voltage",kilowatt hour,RLA,1.9673840122188623e-07,0.31441916442559453,6.25720132490344e-05,technosphere,,,1.0,kilogram,RoW,
7,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '7cda65c3df621b568ba879edcfaab039')","treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '20c418d1c6dc16ddbbe2a4e02f3c003c')",market for anode refinery,unit,GLO,1.5734727675568895e-07,0.2514659007845127,6.25720132490344e-05,technosphere,,,1.0,kilogram,RoW,
8,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '7cda65c3df621b568ba879edcfaab039')","treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '41de63fd811431245e0a0c2fb4aa6810')","market group for electricity, high voltage",kilowatt hour,UCTE,1.3469503563807063e-07,0.2152640272288973,6.25720132490344e-05,technosphere,,,1.0,kilogram,RoW,
9,LNV-EI38-202502027,ecoinvent 3.8 cutoff,"('ecoinvent 3.8 cutoff', '7cda65c3df621b568ba879edcfaab039')","treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('ecoinvent 3.8 cutoff', '43f5fdd901b2a12a315b6786389d55f2')","market group for electricity, high voltage",kilowatt hour,RAF,9.649590730768289e-08,0.15421576244259969,6.25720132490344e-05,technosphere,,,1.0,kilogram,RoW,
