Unnamed: 0,project_name,db_name,activity_id,activity_name,activity_unit,activity_location,impact_method,impact_category,impact_indicator,sub_activity_id,sub_activity,sub_activity_unit,sub_activity_location,value,percentage,total_impact,exchange_type,compartment,sub_compartment,production_amount,production_unit,production_location,activity_categories,VSI_modify,coeff_2025,coeff_2030,coeff_2035,coeff_2040,coeff_source,coeff_comments,id_to_match,coeff_tech,coeff_tech.1
0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '0b5870b08f744c37b54945c34adb7dcd')",spodumene production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '978f1efe3db6163151b68a019d3f3231')","market group for electricity, medium voltage",kilowatt hour,RAS,5.87737757619644e-07,31.3873945614601,1.87252801907079e-06,technosphere,,,1,kilogram,RoW,Absent,,,,,,,,"market group for electricity, medium voltage_",,
1,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '0b5870b08f744c37b54945c34adb7dcd')",spodumene production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4d805afe963249a65b0863c62c71df75')","market group for heat, district or industrial, other than natural gas",megajoule,RER,3.85857552238801e-07,20.6062365053568,1.87252801907079e-06,technosphere,,,1,kilogram,RoW,Absent,,,,,,,,"market group for heat, district or industrial, other than natural gas_",,
2,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '0b5870b08f744c37b54945c34adb7dcd')",spodumene production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '71001db5901dd156cd5183cf1429d200')","market for industrial machine, heavy, unspecified",kilogram,RER,2.48223970202412e-07,13.2560884362942,1.87252801907079e-06,technosphere,,,1,kilogram,RoW,Absent,,,,,,,,"market for industrial machine, heavy, unspecified_",,
3,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '0b5870b08f744c37b54945c34adb7dcd')",spodumene production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'fb215a840ab29c6a22ac08414212fa54')","market group for electricity, medium voltage",kilowatt hour,RNA,2.11911631546244e-07,11.3168737336919,1.87252801907079e-06,technosphere,,,1,kilogram,RoW,Absent,,,,,,,,"market group for electricity, medium voltage_",,
4,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '0b5870b08f744c37b54945c34adb7dcd')",spodumene production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'e821e3881da3c8f13b0d223d7e676b30')",market for blasting,kilogram,GLO,1.04606184359679e-07,5.58636150136691,1.87252801907079e-06,technosphere,,,1,kilogram,RoW,Absent,,,,,,,,market for blasting_,,
5,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '0b5870b08f744c37b54945c34adb7dcd')",spodumene production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4d897d9709b7282dfae394368a8a8bce')","market for diesel, burned in building machine",megajoule,GLO,9.7668363828824e-08,5.21585593561852,1.87252801907079e-06,technosphere,,,1,kilogram,RoW,Absent,,,,,,,,"market for diesel, burned in building machine_",,
6,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '0b5870b08f744c37b54945c34adb7dcd')",spodumene production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3855bf674145307cd56a3fac8c83b643')","market group for electricity, medium voltage",kilowatt hour,RER,5.99818949200026e-08,3.20325753789081,1.87252801907079e-06,technosphere,,,1,kilogram,RoW,Absent,,,,,,,,"market group for electricity, medium voltage_",,
7,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '0b5870b08f744c37b54945c34adb7dcd')",spodumene production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '2429923082c474d476bda7e1ea4f6a63')","market group for electricity, medium voltage",kilowatt hour,RLA,5.48204929139353e-08,2.92761936567117,1.87252801907079e-06,technosphere,,,1,kilogram,RoW,Absent,,,,,,,,"market group for electricity, medium voltage_",,
8,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '0b5870b08f744c37b54945c34adb7dcd')",spodumene production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '1a3afbe2cf0f55a886376693fe1b0627')","market for recultivation, iron mine",square meter,GLO,4.87100527625781e-08,2.60129900682338,1.87252801907079e-06,technosphere,,,1,kilogram,RoW,Absent,,,,,,,,"market for recultivation, iron mine_",,
9,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '0b5870b08f744c37b54945c34adb7dcd')",spodumene production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '5d760744265684f0aadaf091e832fdf1')","market group for electricity, medium voltage",kilowatt hour,RAF,2.76772398608362e-08,1.47806812923261,1.87252801907079e-06,technosphere,,,1,kilogram,RoW,Absent,,,,,,,,"market group for electricity, medium voltage_",,
