Unnamed: 0,project_name,db_name,activity_id,activity_name,activity_unit,activity_location,impact_method,impact_category,impact_indicator,sub_activity_id,sub_activity,sub_activity_unit,sub_activity_location,value,percentage,total_impact,exchange_type,compartment,sub_compartment,production_amount,production_unit,production_location,activity_categories,VSI_modify,coeff_2025,coeff_2030,coeff_2035,coeff_2040,coeff_source,coeff_comments,id_to_match,coeff_tech
0.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '5d74c2999d80fefeb4f5d9f2d32e9876')","market for nitrogen, liquid",kilogram,RoW,4.8915758224484e-05,38.6663565931667,0.000126507285750136,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for nitrogen, liquid_",
1.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'a5c10e1e40fcac7f5caf6d23f6b96671')",market for manganese concentrate,kilogram,GLO,3.01412413665794e-05,23.8256960362829,0.000126507285750136,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,market for manganese concentrate_,
2.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '28edec4887a70f7578bfe63eefab9ac8')","market for oxygen, liquid",kilogram,RoW,2.45294898580419e-05,19.3897843215844,0.000126507285750136,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for oxygen, liquid_",
3.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bbec888be3ba3103fb7fdef5344a5304')","market for chemical factory, organics",unit,GLO,1.65357026117217e-05,13.0709488498403,0.000126507285750136,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for chemical factory, organics_",
4.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '553236206bf670d213249263be1ca55f')","market for heat, district or industrial, natural gas",megajoule,RoW,5.68444418606379e-06,4.49337297243978,0.000126507285750136,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for heat, district or industrial, natural gas_",
5.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '9842706a0ff8839a1109233ce34fa2f8')","market for inert waste, for final disposal",kilogram,RoW,5.07613949443495e-07,0.401252739266006,0.000126507285750136,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for inert waste, for final disposal_",
6.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '99ff59d3163c5ffcc051bd82a34f89a5')","market group for electricity, medium voltage",kilowatt hour,CN,1.93035553801805e-07,0.152588487419664,0.000126507285750136,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market group for electricity, medium voltage_",
7.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', 'ba2f3f82-c93a-47a5-822a-37ec97495275')","Carbon monoxide, fossil",kilogram,,0.0,0.0,0.000126507285750136,biosphere,air,,1.0,kilogram,CN,Absent,,,,,,,,"Carbon monoxide, fossil_air",
8.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '349b29d1-3e58-4c66-98b9-9d1a076efd2e')","Carbon dioxide, fossil",kilogram,,0.0,0.0,0.000126507285750136,biosphere,air,,1.0,kilogram,CN,Present,,,,,,,,"Carbon dioxide, fossil_air",
9.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),natural land transformation,NLTP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'a5c10e1e40fcac7f5caf6d23f6b96671')",market for manganese concentrate,kilogram,GLO,0.000186046064122395,40.8740701937854,0.000455168920639282,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,market for manganese concentrate_,
10.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),natural land transformation,NLTP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '5d74c2999d80fefeb4f5d9f2d32e9876')","market for nitrogen, liquid",kilogram,RoW,0.000149362398650133,32.8147182018392,0.000455168920639282,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for nitrogen, liquid_",
11.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),natural land transformation,NLTP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '28edec4887a70f7578bfe63eefab9ac8')","market for oxygen, liquid",kilogram,RoW,7.7640332434869e-05,17.0574766673048,0.000455168920639282,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for oxygen, liquid_",
12.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),natural land transformation,NLTP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '553236206bf670d213249263be1ca55f')","market for heat, district or industrial, natural gas",megajoule,RoW,3.21880213840403e-05,7.0716650290693,0.000455168920639282,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for heat, district or industrial, natural gas_",
13.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),natural land transformation,NLTP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bbec888be3ba3103fb7fdef5344a5304')","market for chemical factory, organics",unit,GLO,1.97405481641109e-05,4.33697189526592,0.000455168920639282,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for chemical factory, organics_",
14.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),natural land transformation,NLTP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '99ff59d3163c5ffcc051bd82a34f89a5')","market group for electricity, medium voltage",kilowatt hour,CN,2.30877756651732e-07,0.0507235327771206,0.000455168920639282,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market group for electricity, medium voltage_",
15.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),natural land transformation,NLTP,"('biosphere3', 'ba2f3f82-c93a-47a5-822a-37ec97495275')","Carbon monoxide, fossil",kilogram,,0.0,0.0,0.000455168920639282,biosphere,air,,1.0,kilogram,CN,Absent,,,,,,,,"Carbon monoxide, fossil_air",
16.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),natural land transformation,NLTP,"('biosphere3', '349b29d1-3e58-4c66-98b9-9d1a076efd2e')","Carbon dioxide, fossil",kilogram,,0.0,0.0,0.000455168920639282,biosphere,air,,1.0,kilogram,CN,Present,,,,,,,,"Carbon dioxide, fossil_air",
17.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),natural land transformation,NLTP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '9842706a0ff8839a1109233ce34fa2f8')","market for inert waste, for final disposal",kilogram,RoW,-1.0039321872919e-05,-2.20562552004185,0.000455168920639282,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for inert waste, for final disposal_",
18.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),photochemical oxidant formation,POFP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '5d74c2999d80fefeb4f5d9f2d32e9876')","market for nitrogen, liquid",kilogram,RoW,0.00296760095017472,42.9860809595042,0.00690363225475335,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for nitrogen, liquid_",
19.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),photochemical oxidant formation,POFP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'a5c10e1e40fcac7f5caf6d23f6b96671')",market for manganese concentrate,kilogram,GLO,0.0018312840406218,26.5263845617053,0.00690363225475335,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,market for manganese concentrate_,
20.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),photochemical oxidant formation,POFP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '28edec4887a70f7578bfe63eefab9ac8')","market for oxygen, liquid",kilogram,RoW,0.00153901332957564,22.2928057692526,0.00690363225475335,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for oxygen, liquid_",
21.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),photochemical oxidant formation,POFP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bbec888be3ba3103fb7fdef5344a5304')","market for chemical factory, organics",unit,GLO,0.000263045718195023,3.810251016976,0.00690363225475335,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for chemical factory, organics_",
22.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),photochemical oxidant formation,POFP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '553236206bf670d213249263be1ca55f')","market for heat, district or industrial, natural gas",megajoule,RoW,0.000233132886181701,3.37695980288032,0.00690363225475335,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for heat, district or industrial, natural gas_",
23.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),photochemical oxidant formation,POFP,"('biosphere3', 'ba2f3f82-c93a-47a5-822a-37ec97495275')","Carbon monoxide, fossil",kilogram,,3.36396704941118e-05,0.487274948212224,0.00690363225475335,biosphere,air,,1.0,kilogram,CN,Absent,,,,,,,,"Carbon monoxide, fossil_air",
24.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3d908539006e39885946109381e53214')",manganese(III) oxide production,kilogram,CN,ReCiPe Midpoint (H),photochemical oxidant formation,POFP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '9842706a0ff8839a1109233ce34fa2f8')","market for inert waste, for final disposal",kilogram,RoW,1.96893496206071e-05,0.285202758403743,0.00690363225475335,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for inert waste, for final disposal_",
