Unnamed: 0,project_name,db_name,activity_id,activity_name,activity_unit,activity_location,impact_method,impact_category,impact_indicator,sub_activity_id,sub_activity,sub_activity_unit,sub_activity_location,value,percentage,total_impact,exchange_type,compartment,sub_compartment,production_amount,production_unit,production_location,activity_categories,VSI_modify,coeff_2025,coeff_2030,coeff_2035,coeff_2040,coeff_source,coeff_comments,id_to_match,coeff_tech
0.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2020_energy,"('EI38_cutoff_remind_SSP1-Base_2020_energy', '3dd23e526c5de9474538ce20d43a402f')","smelting and refining of nickel concentrate, 7% Ni",kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2020_energy', 'f725b6dd0979470ed84175dc6e96617a')","market for nickel concentrate, 7% Ni",kilogram,CN,0.0586610418018301,50.178335743629,0.116905116386364,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for nickel concentrate, 7% Ni_",
1.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2020_energy,"('EI38_cutoff_remind_SSP1-Base_2020_energy', '3dd23e526c5de9474538ce20d43a402f')","smelting and refining of nickel concentrate, 7% Ni",kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', 'fd153f15-1d16-410a-91fa-04d205e36c43')",Copper,kilogram,,0.0342446663167259,29.2927011026184,0.116905116386364,biosphere,air,"low population density, long-term",1.0,kilogram,CN,Present,1.0,1.0,,,0.0010000000000000009,(Zhang et al. 2022),"(Zhang et al. 2022) For Copper, Flue gas scrubbers (FGS) can reduce up to 99.9% of emissions to air",Copper_air,Air Pollution Control Devices
2.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2020_energy,"('EI38_cutoff_remind_SSP1-Base_2020_energy', '3dd23e526c5de9474538ce20d43a402f')","smelting and refining of nickel concentrate, 7% Ni",kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', 'c89873de-cd23-4323-a948-f5cfeebd2fc9')",Nickel,kilogram,,0.0203454684754067,17.4034029513012,0.116905116386364,biosphere,air,"low population density, long-term",1.0,kilogram,CN,Present,1.0,1.0,,,0.050000000000000044,(Zhang et al. 2022),"(Zhang et al. 2022) analysed Pb, Cr, As, Cd, Cu, and various PMs. We are assuming similar emission reduction for other Heavy Metals (in this case, Nickel).",Nickel_air,Air Pollution Control Devices
3.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2020_energy,"('EI38_cutoff_remind_SSP1-Base_2020_energy', '3dd23e526c5de9474538ce20d43a402f')","smelting and refining of nickel concentrate, 7% Ni",kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '74eb3f02-09ec-46ce-8ee8-d67d0900136b')",Cobalt,kilogram,,0.00239766006012979,2.0509453600009,0.116905116386364,biosphere,air,"low population density, long-term",1.0,kilogram,CN,Present,1.0,1.0,,,0.050000000000000044,(Zhang et al. 2022),"(Zhang et al. 2022) analysed Pb, Cr, As, Cd, Cu, and various PMs. We are assuming similar emission reduction for other Heavy Metals (in this case, Cobalt).",Cobalt_air,Air Pollution Control Devices
4.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2020_energy,"('EI38_cutoff_remind_SSP1-Base_2020_energy', '3dd23e526c5de9474538ce20d43a402f')","smelting and refining of nickel concentrate, 7% Ni",kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2020_energy', 'd5e36f38acf6a3f64ad36d501963e829')",market for hard coal,kilogram,CN,0.00042609469641654,0.364479083197969,0.116905116386364,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,market for hard coal_,
5.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2020_energy,"('EI38_cutoff_remind_SSP1-Base_2020_energy', '3dd23e526c5de9474538ce20d43a402f')","smelting and refining of nickel concentrate, 7% Ni",kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2020_energy', 'eb98d932d77cdb68c958200e11eedc76')","market for hydrochloric acid, without water, in 30% solution state",kilogram,RoW,0.000321982101409197,0.275421736329371,0.116905116386364,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for hydrochloric acid, without water, in 30% solution state_",
6.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2020_energy,"('EI38_cutoff_remind_SSP1-Base_2020_energy', '3dd23e526c5de9474538ce20d43a402f')","smelting and refining of nickel concentrate, 7% Ni",kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2020_energy', '0cae5efb87b2b46ae957ba6d7313657e')","market for wastewater, average",cubic meter,RoW,0.000150174413772469,0.12845837583032,0.116905116386364,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,"market for wastewater, average_",
7.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2020_energy,"('EI38_cutoff_remind_SSP1-Base_2020_energy', '3dd23e526c5de9474538ce20d43a402f')","smelting and refining of nickel concentrate, 7% Ni",kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '8f871bab-96dc-49d9-bf08-12cdd0715901')",Zinc,kilogram,,0.000121833971688771,0.104216115987702,0.116905116386364,biosphere,air,"low population density, long-term",1.0,kilogram,CN,Present,,,,,,,,Zinc_air,
8.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2020_energy,"('EI38_cutoff_remind_SSP1-Base_2020_energy', '3dd23e526c5de9474538ce20d43a402f')","smelting and refining of nickel concentrate, 7% Ni",kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', 'b8de5961-4e83-4731-bac1-77a4d01234a4')",Vanadium,kilogram,,0.000113156725325246,0.0967936466965826,0.116905116386364,biosphere,air,"low population density, long-term",1.0,kilogram,CN,Absent,,,,,,,,Vanadium_air,
9.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2020_energy,"('EI38_cutoff_remind_SSP1-Base_2020_energy', '3dd23e526c5de9474538ce20d43a402f')","smelting and refining of nickel concentrate, 7% Ni",kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2020_energy', 'a39fae0ac7b85f6d8f42258b0bc6f62f')",market for sulfuric acid,kilogram,RoW,4.70172036830822e-05,0.0402182600184008,0.116905116386364,technosphere,,,1.0,kilogram,CN,Absent,,,,,,,,market for sulfuric acid_,
