Unnamed: 0,project_name,db_name,activity_id,activity_name,activity_unit,activity_location,impact_method,impact_category,impact_indicator,sub_activity_id,sub_activity,sub_activity_unit,sub_activity_location,value,percentage,total_impact,exchange_type,compartment,sub_compartment,production_amount,production_unit,production_location,activity_categories,VSI_modify,coeff_2025,coeff_2030,coeff_2035,coeff_2040,coeff_source,coeff_comments,id_to_match,coeff_tech
0.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'c4b52d03dcf6c46f8e020d037098c950')","market for soda ash, light, crystalline, heptahydrate",kilogram,GLO,0.000115124525220758,41.1485568326068,0.000279777795583663,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,"market for soda ash, light, crystalline, heptahydrate_",
1.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4c244496d59b6b63e4a1e8035b08e57f')","market for lithium brine, 6.7 % Li",kilogram,GLO,7.69910247398306e-05,27.5186329848708,0.000279777795583663,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,"market for lithium brine, 6.7 % Li_",
2.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'eb98d932d77cdb68c958200e11eedc76')","market for hydrochloric acid, without water, in 30% solution state",kilogram,RoW,1.68163427544154e-05,6.01060663850529,0.000279777795583663,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,"market for hydrochloric acid, without water, in 30% solution state_",
3.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bbec888be3ba3103fb7fdef5344a5304')","market for chemical factory, organics",unit,GLO,1.65357026117217e-05,5.91029841279057,0.000279777795583663,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,"market for chemical factory, organics_",
4.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '6f0c663c6779892c89c4f6ae1e488621')","market group for electricity, medium voltage",kilowatt hour,GLO,1.55951355196549e-05,5.57411480318544,0.000279777795583663,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,"market group for electricity, medium voltage_",
5.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '2a0d58014ba9ef602e3afe362777d8b4')",market for decarbonising waste,kilogram,RoW,1.53415429263087e-05,5.48347408853646,0.000279777795583663,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,market for decarbonising waste_,
6.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4d897d9709b7282dfae394368a8a8bce')","market for diesel, burned in building machine",megajoule,GLO,7.20064799992899e-06,2.57370245730445,0.000279777795583663,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,"market for diesel, burned in building machine_",
7.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'a39fae0ac7b85f6d8f42258b0bc6f62f')",market for sulfuric acid,kilogram,RoW,4.13552153034381e-06,1.4781450120859,0.000279777795583663,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,market for sulfuric acid_,
8.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'a5534e72e80ffb4337474377f9941d99')","market for hydrochloric acid, without water, in 30% solution state",kilogram,RER,3.3694552244995e-06,1.20433260883704,0.000279777795583663,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,"market for hydrochloric acid, without water, in 30% solution state_",
9.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4b60443af9fff09f6d18e4188c7031d8')","market group for heat, district or industrial, natural gas",megajoule,GLO,3.21312854533604e-06,1.14845731007098,0.000279777795583663,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,"market group for heat, district or industrial, natural gas_",
10.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '940a75147e77d4e96173c46b776b2993')","market for quicklime, milled, loose",kilogram,RoW,2.74809319338758e-06,0.982241348944293,0.000279777795583663,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,"market for quicklime, milled, loose_",
11.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '1337814be4630cec37efb1a4c42c97a6')",market for activated bentonite,kilogram,GLO,2.10598923147404e-06,0.752736373192375,0.000279777795583663,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,market for activated bentonite_,
12.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'd48c15a567f85ccaf9a4bbaef5634b61')",market for sulfuric acid,kilogram,RER,2.93331455784027e-07,0.104844437412228,0.000279777795583663,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,market for sulfuric acid_,
13.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4c13e862fb0a4ee7623bba51c3258936')",market for 2-methyl-2-butanol,kilogram,GLO,1.36458989672065e-07,0.0487740599240155,0.000279777795583663,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,market for 2-methyl-2-butanol_,
14.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '763a313e06d0f9a5116305b93312c90d')",market for decarbonising waste,kilogram,CH,1.3469424964041e-07,0.0481432950600727,0.000279777795583663,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,market for decarbonising waste_,
15.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4bcdd0870049fd3b15b4cfa1b4ed580f')","lithium carbonate production, from concentrated brine",kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '5b64503ebe2c3c8ae655f54a747b59f8')","market for sodium hydroxide, without water, in 50% solution state",kilogram,GLO,2.00630663671569e-08,0.00717107171614603,0.000279777795583663,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,"market for sodium hydroxide, without water, in 50% solution state_",
