Unnamed: 0,project_name,db_name,activity_id,activity_name,activity_unit,activity_location,impact_method,impact_category,impact_indicator,sub_activity_id,sub_activity,sub_activity_unit,sub_activity_location,value,percentage,total_impact,exchange_type,compartment,sub_compartment,production_amount,production_unit,production_location,activity_categories,VSI_modify,coeff_2025,coeff_2030,coeff_2035,coeff_2040,coeff_source,coeff_comments,id_to_match,coeff_tech
0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '52112ff78d75aabf60bd4b63055d0a61')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3ce68c270949d80c8132a52f9d0684d2')","market for mine infrastructure, open cast, non-ferrous metal",unit,GLO,8.74279095560111e-07,36.9058990146762,2.36894133160782e-06,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,"market for mine infrastructure, open cast, non-ferrous metal_",
1,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '52112ff78d75aabf60bd4b63055d0a61')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '683c18c43d5d1a5b067eb690cc9eb9f2')","market for steel, chromium steel 18/8, hot rolled",kilogram,GLO,3.91587071982476e-07,16.5300451622709,2.36894133160782e-06,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,"market for steel, chromium steel 18/8, hot rolled_",
2,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '52112ff78d75aabf60bd4b63055d0a61')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'e2c30022dc3f9101d0cc92edc7aab5fc')","market for mine infrastructure, underground, non-ferrous metal",unit,GLO,3.51822181774013e-07,14.8514518734504,2.36894133160782e-06,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,"market for mine infrastructure, underground, non-ferrous metal_",
3,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '52112ff78d75aabf60bd4b63055d0a61')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4d897d9709b7282dfae394368a8a8bce')","market for diesel, burned in building machine",megajoule,GLO,3.06027539996979e-07,12.9183249882036,2.36894133160782e-06,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,"market for diesel, burned in building machine_",
4,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '52112ff78d75aabf60bd4b63055d0a61')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'e821e3881da3c8f13b0d223d7e676b30')",market for blasting,kilogram,GLO,1.74472307492866e-07,7.36499064645261,2.36894133160782e-06,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,market for blasting_,
5,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '52112ff78d75aabf60bd4b63055d0a61')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'ffeedd7ba4e62355446fb7f9ddf78270')",market for aluminium hydroxide factory,unit,GLO,9.23535546578057e-08,3.89851590774197,2.36894133160782e-06,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,market for aluminium hydroxide factory_,
6,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '52112ff78d75aabf60bd4b63055d0a61')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '6f0c663c6779892c89c4f6ae1e488621')","market group for electricity, medium voltage",kilowatt hour,GLO,8.12022573609618e-08,3.42778676185488,2.36894133160782e-06,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,"market group for electricity, medium voltage_",
7,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '52112ff78d75aabf60bd4b63055d0a61')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '62e41ec78b96b9df85abc4e3e3017a7d')",market for conveyor belt,meter,GLO,6.57065207679293e-08,2.7736660208184,2.36894133160782e-06,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,market for conveyor belt_,
8,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '52112ff78d75aabf60bd4b63055d0a61')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5')",Chromium,kilogram,,3.00626607391758e-08,1.26903356947096,2.36894133160782e-06,biosphere,air,non-urban air or from high stacks,1,kilogram,GLO,Present,1.0,1.0,,,0.1,(Lee et al. 2022),,,Mist generators and surfactant addition
9,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '52112ff78d75aabf60bd4b63055d0a61')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '041d33accd61de92b7e30b0ae9040730')","electricity production, hydro, run-of-river",kilowatt hour,RoW,1.42814127550835e-09,0.060286055059838,2.36894133160782e-06,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,"electricity production, hydro, run-of-river_",
10,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '52112ff78d75aabf60bd4b63055d0a61')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '8c8ffaa5-84ed-4668-ba7d-80fd0f47013f')","Arsenic, ion",kilogram,,2.83282122777338e-30,1.19581738474321e-22,2.36894133160782e-06,biosphere,water,surface water,1,kilogram,GLO,Present,,,,,,,,"Arsenic, ion_water",
11,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '52112ff78d75aabf60bd4b63055d0a61')",manganese concentrate production,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '541b633c-17a3-4047-bce6-0c0e4fdb7c10')","Zinc, ion",kilogram,,1.21214578702399e-30,5.1168248485128e-23,2.36894133160782e-06,biosphere,water,surface water,1,kilogram,GLO,Absent,,,,,,,,"Zinc, ion_water",
