Unnamed: 0,project_name,db_name,activity_id,activity_name,activity_unit,activity_location,impact_method,impact_category,impact_indicator,sub_activity_id,sub_activity,sub_activity_unit,sub_activity_location,value,percentage,total_impact,exchange_type,compartment,sub_compartment,production_amount,production_unit,production_location,activity_categories,VSI_modify,coeff_2025,coeff_2030,coeff_2035,coeff_2040,coeff_source,coeff_comments,id_to_match,coeff_tech
0.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '9f9aaa855cf07859c28cb6fc84e3a2fd')","platinum group metal, mine and concentration operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '6216175672278e1786bfdcda0993295b')","market for electricity, medium voltage",kilowatt hour,ZA,0.000153804764012444,31.6558753105352,0.000485864827630457,technosphere,,,1.0,kilogram,ZA,Absent,,,,,,,,"market for electricity, medium voltage_",
1.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '9f9aaa855cf07859c28cb6fc84e3a2fd')","platinum group metal, mine and concentration operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'e821e3881da3c8f13b0d223d7e676b30')",market for blasting,kilogram,GLO,0.00014552225647078,29.9511815211004,0.000485864827630457,technosphere,,,1.0,kilogram,ZA,Absent,,,,,,,,market for blasting_,
2.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '9f9aaa855cf07859c28cb6fc84e3a2fd')","platinum group metal, mine and concentration operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', 'ce312691-69ee-4cdb-9bd6-f717955b94b8')",Chlorine,kilogram,,5.07977716648051e-05,10.4551243012472,0.000485864827630457,biosphere,water,surface water,1.0,kilogram,ZA,Present,1.0,1.0,,,0.010000000000000009,"(Dobson and Burgess, 2007)","(Dobson and Burgess, 2007) described: The Livingston (1992) study, as summarized in Dobson & Burgess (2007), demonstrated a >99% removal efficiency for 3-chloronitrobenzene, a chlorine-containing compound, in an MBR. This is achieved through microbial degradation that releases chlorine as chloride ions, which are significantly less harmful and more stable in water. The efficient separation and retention of microorganisms within the reactor ensure thorough treatment, allowing MBRs to consistently handle various pollutants, including chlorinated compound. The broader removal efficiencies for contaminants in municipal and industrial wastewater reported by Melin et al. (2006) include total suspended solids (>99%), biological oxygen demand (>97%), and chemical oxygen demand (89–98%). These figures indicate that MBRs provide high treatment performance across a range of pollutants, including dissolved organic and inorganic species.",Chlorine_water,Membrane Bioreactor (MBR)
3.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '9f9aaa855cf07859c28cb6fc84e3a2fd')","platinum group metal, mine and concentration operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '5ec9c16a-959d-44cd-be7d-a935727d2151')",Mercury,kilogram,,3.63760643577201e-05,7.4868692461491,0.000485864827630457,biosphere,air,non-urban air or from high stacks,1.0,kilogram,ZA,Present,1.0,1.0,,,0.1,(Lee et al. 2022),,,Mist generators and surfactant addition
4.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '9f9aaa855cf07859c28cb6fc84e3a2fd')","platinum group metal, mine and concentration operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', 'e6551223-73b6-4289-b841-c5cdeb25abd9')",Selenium,kilogram,,1.94594794046027e-05,4.00512206234516,0.000485864827630457,biosphere,air,non-urban air or from high stacks,1.0,kilogram,ZA,Present,1.0,1.0,,,0.1,(Lee et al. 2022),,,Mist generators and surfactant addition
5.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '9f9aaa855cf07859c28cb6fc84e3a2fd')","platinum group metal, mine and concentration operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', 'e336eee7-148a-4d1c-8027-780cbfafa12b')",Copper,kilogram,,1.81472856510644e-05,3.73504823132967,0.000485864827630457,biosphere,air,non-urban air or from high stacks,1.0,kilogram,ZA,Present,1.0,1.0,,,0.1,(Lee et al. 2022),,,Mist generators and surfactant addition
6.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '9f9aaa855cf07859c28cb6fc84e3a2fd')","platinum group metal, mine and concentration operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '15c993b65a45868e9f93a05998f2aca0')",market for lubricating oil,kilogram,RoW,1.33540034297359e-05,2.74850177874838,0.000485864827630457,technosphere,,,1.0,kilogram,ZA,Absent,,,,,,,,market for lubricating oil_,
7.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '9f9aaa855cf07859c28cb6fc84e3a2fd')","platinum group metal, mine and concentration operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4d897d9709b7282dfae394368a8a8bce')","market for diesel, burned in building machine",megajoule,GLO,1.07243693615963e-05,2.20727427706562,0.000485864827630457,technosphere,,,1.0,kilogram,ZA,Absent,,,,,,,,"market for diesel, burned in building machine_",
8.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '9f9aaa855cf07859c28cb6fc84e3a2fd')","platinum group metal, mine and concentration operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '049d262c10e6e08aed71480fb8acc246')","market for sulfidic tailings, generic",kilogram,GLO,8.77877724499172e-06,1.80683530598529,0.000485864827630457,technosphere,,,1.0,kilogram,ZA,Absent,,,,,,,,"market for sulfidic tailings, generic_",
9.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '9f9aaa855cf07859c28cb6fc84e3a2fd')","platinum group metal, mine and concentration operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', 'e8fc62ba-678e-4706-97d2-b79d83e227d5')",Nickel,kilogram,,8.51674592298259e-06,1.75290439617092,0.000485864827630457,biosphere,air,non-urban air or from high stacks,1.0,kilogram,ZA,Present,1.0,1.0,,,0.1,(Lee et al. 2022),,,Mist generators and surfactant addition
