Unnamed: 0,project_name,db_name,activity_id,activity_name,activity_unit,activity_location,impact_method,impact_category,impact_indicator,sub_activity_id,sub_activity,sub_activity_unit,sub_activity_location,value,percentage,total_impact,exchange_type,compartment,sub_compartment,production_amount,production_unit,production_location,activity_categories,VSI_modify,coeff_2025,coeff_2030,coeff_2035,coeff_2040,coeff_source,coeff_comments,id_to_match,coeff_tech
0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bde92d093e012fc74b4cf23bd73869be')","platinum group metal, extraction and refinery operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '34d4c852b41616ab4ee30b4f7fe1b6ef')",market for platinum group metal concentrate,kilogram,ZA,0.00163351613020603,47.9149288914361,0.00340920078146666,technosphere,,,1,kilogram,ZA,Absent,,,,,,,,market for platinum group metal concentrate_,
1,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bde92d093e012fc74b4cf23bd73869be')","platinum group metal, extraction and refinery operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '6216175672278e1786bfdcda0993295b')","market for electricity, medium voltage",kilowatt hour,ZA,0.000476731433022512,13.9836713523636,0.00340920078146666,technosphere,,,1,kilogram,ZA,Absent,,,,,,,,"market for electricity, medium voltage_",
2,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bde92d093e012fc74b4cf23bd73869be')","platinum group metal, extraction and refinery operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', 'ce312691-69ee-4cdb-9bd6-f717955b94b8')",Chlorine,kilogram,,0.000319578984755363,9.37401476887724,0.00340920078146666,biosphere,water,surface water,1,kilogram,ZA,Present,1.0,1.0,,,0.010000000000000009,"(Dobson and Burgess, 2007)","(Dobson and Burgess, 2007) described: The Livingston (1992) study, as summarized in Dobson & Burgess (2007), demonstrated a >99% removal efficiency for 3-chloronitrobenzene, a chlorine-containing compound, in an MBR. This is achieved through microbial degradation that releases chlorine as chloride ions, which are significantly less harmful and more stable in water. The efficient separation and retention of microorganisms within the reactor ensure thorough treatment, allowing MBRs to consistently handle various pollutants, including chlorinated compound. The broader removal efficiencies for contaminants in municipal and industrial wastewater reported by Melin et al. (2006) include total suspended solids (>99%), biological oxygen demand (>97%), and chemical oxygen demand (89–98%). These figures indicate that MBRs provide high treatment performance across a range of pollutants, including dissolved organic and inorganic species.",Chlorine_water,Membrane Bioreactor (MBR)
3,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bde92d093e012fc74b4cf23bd73869be')","platinum group metal, extraction and refinery operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '15c993b65a45868e9f93a05998f2aca0')",market for lubricating oil,kilogram,RoW,0.000261540746949396,7.67161466028058,0.00340920078146666,technosphere,,,1,kilogram,ZA,Absent,,,,,,,,market for lubricating oil_,
4,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bde92d093e012fc74b4cf23bd73869be')","platinum group metal, extraction and refinery operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '5ec9c16a-959d-44cd-be7d-a935727d2151')",Mercury,kilogram,,0.000259047205109649,7.59847312361008,0.00340920078146666,biosphere,air,non-urban air or from high stacks,1,kilogram,ZA,Present,1.0,1.0,,,0.050000000000000044,(Zhang et al. 2022),"(Zhang et al. 2022) analysed Pb, Cr, As, Cd, Cu, and various PMs. We are assuming similar emission reduction for other Heavy Metals (in this case, Mercury).",Mercury_air,Air Pollution Control Devices
5,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bde92d093e012fc74b4cf23bd73869be')","platinum group metal, extraction and refinery operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', 'e6551223-73b6-4289-b841-c5cdeb25abd9')",Selenium,kilogram,,0.000134252381802334,3.9379429493319,0.00340920078146666,biosphere,air,non-urban air or from high stacks,1,kilogram,ZA,Present,1.0,1.0,,,0.030000000000000027,"(Wu et al., 2019)","Selenium, like sulfur, often volatilizes as selenium dioxide (SeO₂) during high-temperature smelting and roasting, following similar pathways for emission and mitigation. The implementation of advanced control measures like FGD combined with electrostatic demisters (ESD) achieves up to 97% reduction in SOx emissions. Selenium, which shares solubility and chemical behavior with SO₃, will likely have similar removal rates",Selenium_air,Air Pollution Control Devices
6,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bde92d093e012fc74b4cf23bd73869be')","platinum group metal, extraction and refinery operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', 'e336eee7-148a-4d1c-8027-780cbfafa12b')",Copper,kilogram,,0.000103602747459069,3.03891598354317,0.00340920078146666,biosphere,air,non-urban air or from high stacks,1,kilogram,ZA,Present,1.0,1.0,,,0.0010000000000000009,(Zhang et al. 2022),"(Zhang et al. 2022) For Copper, Flue gas scrubbers (FGS) can reduce up to 99.9% of emissions to air",Copper_air,Air Pollution Control Devices
7,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bde92d093e012fc74b4cf23bd73869be')","platinum group metal, extraction and refinery operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4d897d9709b7282dfae394368a8a8bce')","market for diesel, burned in building machine",megajoule,GLO,7.06605069355914e-05,2.07264140380704,0.00340920078146666,technosphere,,,1,kilogram,ZA,Absent,,,,,,,,"market for diesel, burned in building machine_",
8,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bde92d093e012fc74b4cf23bd73869be')","platinum group metal, extraction and refinery operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', 'e8fc62ba-678e-4706-97d2-b79d83e227d5')",Nickel,kilogram,,5.16803577315278e-05,1.5159083035671,0.00340920078146666,biosphere,air,non-urban air or from high stacks,1,kilogram,ZA,Present,1.0,1.0,,,0.050000000000000044,(Zhang et al. 2022),"(Zhang et al. 2022) analysed Pb, Cr, As, Cd, Cu, and various PMs. We are assuming similar emission reduction for other Heavy Metals (in this case, Nickel).",Nickel_air,Air Pollution Control Devices
9,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bde92d093e012fc74b4cf23bd73869be')","platinum group metal, extraction and refinery operations",kilogram,ZA,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', 'ada3ecfe-8244-4389-bcce-e83ca4f66e09')",Zinc,kilogram,,3.15367866566247e-05,0.925049261635373,0.00340920078146666,biosphere,air,non-urban air or from high stacks,1,kilogram,ZA,Present,,,,,,,,Zinc_air,
