Unnamed: 0,project_name,db_name,activity_id,activity_name,activity_unit,activity_location,impact_method,impact_category,impact_indicator,sub_activity_id,sub_activity,sub_activity_unit,sub_activity_location,value,percentage,total_impact,exchange_type,compartment,sub_compartment,production_amount,production_unit,production_location,activity_categories,VSI_modify,coeff_2025,coeff_2030,coeff_2035,coeff_2040,coeff_source,coeff_comments,id_to_match,coeff_tech
0.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'd0617f6353f60771cfb7dcdfe6c78ee1')",lithium brine inspissation,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4d897d9709b7282dfae394368a8a8bce')","market for diesel, burned in building machine",megajoule,GLO,4.40465170208419e-07,62.0396878390185,7.09973221256922e-07,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,"market for diesel, burned in building machine_",
1.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'd0617f6353f60771cfb7dcdfe6c78ee1')",lithium brine inspissation,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '91e0fc74a260e54194f84cfda851493d')","market group for electricity, low voltage",kilowatt hour,GLO,2.69508051048503e-07,37.9603121609814,7.09973221256922e-07,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,"market group for electricity, low voltage_",
2.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'd0617f6353f60771cfb7dcdfe6c78ee1')",lithium brine inspissation,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '379ba5c9-5c3a-43d0-8e2d-605ad9c39e46')","Occupation, mineral extraction site",square meter-year,,0.0,0.0,7.09973221256922e-07,biosphere,natural resource,land,1.0,kilogram,GLO,Absent,,,,,,,,"Occupation, mineral extraction site_natural resource",
3.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'd0617f6353f60771cfb7dcdfe6c78ee1')",lithium brine inspissation,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '7d2c1cdd-a64a-5936-a577-5b82db0c0d1b')","Lithium, in ground",kilogram,,0.0,0.0,7.09973221256922e-07,biosphere,natural resource,in ground,1.0,kilogram,GLO,Absent,,,,,,,,"Lithium, in ground_natural resource",
4.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'd0617f6353f60771cfb7dcdfe6c78ee1')",lithium brine inspissation,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '29630a65-f38c-48a5-9744-c0121f586640')","Transformation, from unspecified",square meter,,0.0,0.0,7.09973221256922e-07,biosphere,natural resource,land,1.0,kilogram,GLO,Absent,,,,,,,,"Transformation, from unspecified_natural resource",
5.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'd0617f6353f60771cfb7dcdfe6c78ee1')",lithium brine inspissation,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '626915e9-2424-4059-8b6a-fae47161acdf')","Transformation, to mineral extraction site",square meter,,0.0,0.0,7.09973221256922e-07,biosphere,natural resource,land,1.0,kilogram,GLO,Absent,,,,,,,,"Transformation, to mineral extraction site_natural resource",
6.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'd0617f6353f60771cfb7dcdfe6c78ee1')",lithium brine inspissation,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '07f704a2-2746-4364-bcfd-606cefc30715')","Heat, waste",megajoule,,0.0,0.0,7.09973221256922e-07,biosphere,air,non-urban air or from high stacks,1.0,kilogram,GLO,Absent,,,,,,,,"Heat, waste_air",
7.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'd0617f6353f60771cfb7dcdfe6c78ee1')",lithium brine inspissation,kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('biosphere3', '29630a65-f38c-48a5-9744-c0121f586640')","Transformation, from unspecified",square meter,,0.000136687739720761,96.888361992809,0.000141077562783965,biosphere,natural resource,land,1.0,kilogram,GLO,Absent,,,,,,,,"Transformation, from unspecified_natural resource",
8.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'd0617f6353f60771cfb7dcdfe6c78ee1')",lithium brine inspissation,kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4d897d9709b7282dfae394368a8a8bce')","market for diesel, burned in building machine",megajoule,GLO,3.68330890753895e-06,2.61083962244178,0.000141077562783965,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,"market for diesel, burned in building machine_",
9.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'd0617f6353f60771cfb7dcdfe6c78ee1')",lithium brine inspissation,kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '91e0fc74a260e54194f84cfda851493d')","market group for electricity, low voltage",kilowatt hour,GLO,7.06514155665608e-07,0.500798384749178,0.000141077562783965,technosphere,,,1.0,kilogram,GLO,Absent,,,,,,,,"market group for electricity, low voltage_",
