Unnamed: 0,project_name,db_name,activity_id,activity_name,activity_unit,activity_location,impact_method,impact_category,impact_indicator,sub_activity_id,sub_activity,sub_activity_unit,sub_activity_location,value,percentage,total_impact,exchange_type,compartment,sub_compartment,production_amount,production_unit,production_location,activity_categories,VSI_modify,coeff_2025,coeff_2030,coeff_2035,coeff_2040,coeff_source,coeff_comments,id_to_match,coeff_tech
0.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'dc75ef318dcef071d7f6c578aba30921')",manganese(III) oxide production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'a5c10e1e40fcac7f5caf6d23f6b96671')",market for manganese concentrate,kilogram,GLO,3.01412413665794e-05,38.5025884768918,7.828367535515e-05,technosphere,,,1.0,kilogram,RoW,Absent,,,,,,,,market for manganese concentrate_,
1.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'dc75ef318dcef071d7f6c578aba30921')",manganese(III) oxide production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '0d611bbaac37d39616c2e7923d122a11')","market for nitrogen, liquid",kilogram,RER,2.02115666167037e-05,25.8183670158686,7.828367535515e-05,technosphere,,,1.0,kilogram,RoW,Absent,,,,,,,,"market for nitrogen, liquid_",
2.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'dc75ef318dcef071d7f6c578aba30921')",manganese(III) oxide production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bbec888be3ba3103fb7fdef5344a5304')","market for chemical factory, organics",unit,GLO,1.65357026117217e-05,21.1227979993327,7.828367535515e-05,technosphere,,,1.0,kilogram,RoW,Absent,,,,,,,,"market for chemical factory, organics_",
3.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'dc75ef318dcef071d7f6c578aba30921')",manganese(III) oxide production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '53b5def592497847e2d0b4d62f2c4456')","market for oxygen, liquid",kilogram,RER,9.38568509841193e-06,11.9893260706422,7.828367535515e-05,technosphere,,,1.0,kilogram,RoW,Absent,,,,,,,,"market for oxygen, liquid_",
4.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'dc75ef318dcef071d7f6c578aba30921')",manganese(III) oxide production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '57c659189833c25f41e95ec5e3f6d883')","market group for heat, district or industrial, natural gas",megajoule,RER,1.09643511702483e-06,1.40059228447135,7.828367535515e-05,technosphere,,,1.0,kilogram,RoW,Absent,,,,,,,,"market group for heat, district or industrial, natural gas_",
5.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'dc75ef318dcef071d7f6c578aba30921')",manganese(III) oxide production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '625d763572a45768fe1ee3ea8be1c1e4')","market for inert waste, for final disposal",kilogram,CH,5.69373804095774e-07,0.727321247389947,7.828367535515e-05,technosphere,,,1.0,kilogram,RoW,Absent,,,,,,,,"market for inert waste, for final disposal_",
6.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'dc75ef318dcef071d7f6c578aba30921')",manganese(III) oxide production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4b72ec37085f30bf32513e69202ffaea')","market for heat, district or industrial, natural gas",megajoule,CA-QC,2.43667786662235e-07,0.311262578764712,7.828367535515e-05,technosphere,,,1.0,kilogram,RoW,Absent,,,,,,,,"market for heat, district or industrial, natural gas_",
7.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'dc75ef318dcef071d7f6c578aba30921')",manganese(III) oxide production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'fb215a840ab29c6a22ac08414212fa54')","market group for electricity, medium voltage",kilowatt hour,RNA,5.62671027882305e-08,0.0718759083972019,7.828367535515e-05,technosphere,,,1.0,kilogram,RoW,Absent,,,,,,,,"market group for electricity, medium voltage_",
8.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'dc75ef318dcef071d7f6c578aba30921')",manganese(III) oxide production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '3855bf674145307cd56a3fac8c83b643')","market group for electricity, medium voltage",kilowatt hour,RER,1.5926485121512e-08,0.0203445802068672,7.828367535515e-05,technosphere,,,1.0,kilogram,RoW,Absent,,,,,,,,"market group for electricity, medium voltage_",
9.0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'dc75ef318dcef071d7f6c578aba30921')",manganese(III) oxide production,kilogram,RoW,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '2429923082c474d476bda7e1ea4f6a63')","market group for electricity, medium voltage",kilowatt hour,RLA,1.45560217114212e-08,0.0185939426647827,7.828367535515e-05,technosphere,,,1.0,kilogram,RoW,Absent,,,,,,,,"market group for electricity, medium voltage_",
