Unnamed: 0,project_name,db_name,activity_id,activity_name,activity_unit,activity_location,impact_method,impact_category,impact_indicator,sub_activity_id,sub_activity,sub_activity_unit,sub_activity_location,value,percentage,total_impact,exchange_type,compartment,sub_compartment,production_amount,production_unit,production_location,activity_categories,VSI_modify,coeff_2025,coeff_2030,coeff_2035,coeff_2040,coeff_source,coeff_comments,id_to_match,coeff_tech
0,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'f5ec689f258fc22994162fe53b025b0d')",processing of nickel-rich materials,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bb299d5a3631b740837d10a32e350c8a')",market for nickel-rich materials,kilogram,GLO,0.00268509651680873,97.8662406682251,0.00274363917370796,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,market for nickel-rich materials_,
1,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'f5ec689f258fc22994162fe53b025b0d')",processing of nickel-rich materials,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '2d07e1a0da591a039eb0743cf16ce816')","market group for electricity, high voltage",kilowatt hour,GLO,3.51274458045322e-05,1.28032308844236,0.00274363917370796,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,"market group for electricity, high voltage_",
2,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'f5ec689f258fc22994162fe53b025b0d')",processing of nickel-rich materials,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bbec888be3ba3103fb7fdef5344a5304')","market for chemical factory, organics",unit,GLO,1.15981186850042e-05,0.422727550916606,0.00274363917370796,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,"market for chemical factory, organics_",
3,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'f5ec689f258fc22994162fe53b025b0d')",processing of nickel-rich materials,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '62e41ec78b96b9df85abc4e3e3017a7d')",market for conveyor belt,meter,GLO,7.44473613197869e-06,0.271345306748821,0.00274363917370796,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,market for conveyor belt_,
4,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'f5ec689f258fc22994162fe53b025b0d')",processing of nickel-rich materials,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '4b60443af9fff09f6d18e4188c7031d8')","market group for heat, district or industrial, natural gas",megajoule,GLO,4.19594101531129e-06,0.152933412509946,0.00274363917370796,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,"market group for heat, district or industrial, natural gas_",
5,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'f5ec689f258fc22994162fe53b025b0d')",processing of nickel-rich materials,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'd2f97a0fed00c476e24f9ae926b393c7')",market for nickel smelter slag,kilogram,GLO,1.76415262397301e-07,0.00642997315710726,0.00274363917370796,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,market for nickel smelter slag_,
6,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'f5ec689f258fc22994162fe53b025b0d')",processing of nickel-rich materials,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '29630a65-f38c-48a5-9744-c0121f586640')","Transformation, from unspecified",square meter,,0.0,0.0,0.00274363917370796,biosphere,natural resource,land,1,kilogram,GLO,Absent,,,,,,,,"Transformation, from unspecified_natural resource",
7,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'f5ec689f258fc22994162fe53b025b0d')",processing of nickel-rich materials,kilogram,GLO,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '626915e9-2424-4059-8b6a-fae47161acdf')","Transformation, to mineral extraction site",square meter,,0.0,0.0,0.00274363917370796,biosphere,natural resource,land,1,kilogram,GLO,Absent,,,,,,,,"Transformation, to mineral extraction site_natural resource",
8,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'f5ec689f258fc22994162fe53b025b0d')",processing of nickel-rich materials,kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'bb299d5a3631b740837d10a32e350c8a')",market for nickel-rich materials,kilogram,GLO,0.00409242192880624,55.5420291556041,0.00736815343447587,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,market for nickel-rich materials_,
9,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'f5ec689f258fc22994162fe53b025b0d')",processing of nickel-rich materials,kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('biosphere3', '29630a65-f38c-48a5-9744-c0121f586640')","Transformation, from unspecified",square meter,,0.00309847896212373,42.05231323802,0.00736815343447587,biosphere,natural resource,land,1,kilogram,GLO,Absent,,,,,,,,"Transformation, from unspecified_natural resource",
10,test-EI38-SSP1-Base,EI38_cutoff_remind_SSP1-Base_2025_baseline,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', 'f5ec689f258fc22994162fe53b025b0d')",processing of nickel-rich materials,kilogram,GLO,ReCiPe Midpoint (H),natural land transformation,NLTP,"('EI38_cutoff_remind_SSP1-Base_2025_baseline', '2d07e1a0da591a039eb0743cf16ce816')","market group for electricity, high voltage",kilowatt hour,GLO,0.000129394118524397,1.75612681895246,0.00736815343447587,technosphere,,,1,kilogram,GLO,Absent,,,,,,,,"market group for electricity, high voltage_",
