Activity,Location,Impact Category,Baseline 2025,Baseline 2040,Baseline Change,Baseline % Change,VSI 2025,VSI 2040,VSI Change,VSI % Change,VSI to baseline change,VSI to baseline change %,SSP,Activity Group
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'terrestrial ecotoxicity', 'TETPinf')",0.003696893156494,0.0033787028434084,-0.0003181903130856003,-8.606965352154253,0.0036965923892265,0.0025034713297516,-0.0011931210594749,-32.27624076033324,-0.0008752315136568,-23.669275408178983,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'natural land transformation', 'NLTP')",0.0008337301188211,0.00078090875807,-5.282136075109999e-05,-6.335546666562767,0.0008338702961725,0.0007810381722394,-5.2832123933099946e-05,-6.335772382779628,1.2941416940002743e-07,-0.00022571621686129362,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'photochemical oxidant formation', 'POFP')",0.6119662134565247,0.609975252583358,-0.001990960873166636,-0.3253383649926089,0.6119664973070643,0.0389750826876719,-0.5729914146193924,-93.63117378824163,-0.5710001698956861,-93.30583542324902,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'human toxicity', 'HTPinf')",11.223054596255942,10.51457774895661,-0.7084768472993321,-6.312691800819387,11.223094442148357,9.1562612105436,-2.0668332316047575,-18.415894495574772,-1.3583165384130105,-12.103202694755385,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'marine eutrophication', 'MEP')",0.0067875361057393,0.0057602778069988,-0.0010272582987405007,-15.134480063713951,0.0067877350016879,0.005476964520396,-0.0013107704812919006,-19.310867041302473,-0.00028331328660279997,-4.176386977588521,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('IPCC 2013', 'climate change', 'GWP 100a, incl. H and bio CO2')",8.216494578825037,7.52682138677146,-0.6896731920535766,-8.393764341194274,8.216407327241694,7.421844889312116,-0.7945624379295779,-9.670436314606595,-0.10497649745934456,-1.2766719734123217,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'particulate matter formation', 'PMFP')",1.4740469762691546,1.4689068381283308,-0.005140138140823813,-0.3487092489978587,1.474046682358212,0.0560940586869106,-1.4179526236713014,-96.1945534454058,-1.4128127794414203,-95.84584419640794,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'agricultural land occupation', 'ALOP')",0.2471235252487701,0.4078471003406402,0.1607235750918701,65.0377477943776,0.2471165534140766,0.4078514659972838,0.16073491258320718,65.0441705998847,4.365656643579019e-06,0.006422805507099838,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'freshwater eutrophication', 'FEP')",0.0043136667999546,0.0032807863294328,-0.0010328804705217998,-23.944373045518272,0.0043137537673163,0.0032809663681212,-0.0010327873991951,-23.941732766949848,1.8003868839993817e-07,0.0026402785684247476,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'metal depletion', 'MDP')",57.88811336450973,57.8987351734818,0.010621808972075542,0.018348860162693784,57.88810797687596,57.89873400981676,0.010626032940805885,0.018356158651878157,-1.1636650398827442e-06,7.298489184372897e-06,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'terrestrial acidification', 'TAP100')",7.305210168280947,7.292767430181711,-0.012442738099236017,-0.170326901110417,7.30521328526427,0.2505364676725575,-7.054676817591712,-96.57044280722195,-7.042230962509153,-96.40011590611154,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'water depletion', 'WDP')",0.276174060650575,0.2707046094646082,-0.005469451185966756,-1.9804362412177787,0.2761732263722139,0.270704184338958,-0.005469042033255933,-1.9802940730702847,-4.2512565023855586e-07,0.00014216814749401507,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'urban land occupation', 'ULOP')",0.1907239408184227,0.1887599700088563,-0.0019639708095663955,-1.029745296337065,0.1907168908715179,0.1887514581128337,-0.0019654327586842157,-1.030549916005231,-8.511896022606047e-06,-0.0008046196681659179,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'ionising radiation', 'IRP_HE')",1.5578175142189057,0.9563291826122404,-0.6014883316066653,-38.6109622029929,1.557748424928912,0.9563094012556234,-0.6014390236732886,-38.609509343637136,-1.9781356617065704e-05,0.0014528593557656677,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'fossil depletion', 'FDP')",2.9354876143666884,2.8727985041020547,-0.06268911026463364,-2.1355603736096294,2.935372545574032,2.8726268457646675,-0.06274569980936429,-2.1375719379801565,-0.00017165833738719272,-0.0020115643705271857,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'freshwater ecotoxicity', 'FETPinf')",1.5496880255175836,1.5379128665470048,-0.011775158970578792,-0.7598406115738026,1.5496865306693062,1.5376141050050842,-0.012072425664221953,-0.7790237203008985,-0.0002987615419205447,-0.019183108727095943,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'marine ecotoxicity', 'METPinf')",1.4685834730029628,1.456751067343921,-0.011832405659041756,-0.8057019486162966,1.4685820816330204,1.4246808177307944,-0.04390126390222604,-2.989363989339235,-0.032070249613126656,-2.1836620407229383,SSP1,Nickel
"platinum group metal mine operation, ore with high palladium content",RU,"('ReCiPe Midpoint (H)', 'ozone depletion', 'ODPinf')",6.707000117176247e-07,7.183111844078683e-07,4.7611172690243606e-08,7.098728471513531,6.706619323895598e-07,7.182806299198888e-07,4.7618697530328953e-08,7.100253530219636,-3.055448797947157e-11,0.0015250587061048648,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'terrestrial ecotoxicity', 'TETPinf')",0.002264689027395,0.0020187356624786,-0.0002459533649164002,-10.860359278523662,0.0022646473134748,0.001968019102443,-0.0002966282110318003,-13.098207798929348,-5.0716560035600055e-05,-2.237848520405686,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'natural land transformation', 'NLTP')",0.0125142252298583,0.0124546159688946,-5.9609260963698965e-05,-0.47633201311955237,0.0125142759615412,0.0124546587759947,-5.9617185546499696e-05,-0.4763934064560738,4.280710009900435e-08,-6.139333652144252e-05,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'photochemical oxidant formation', 'POFP')",0.1675246760752609,0.1633896093382532,-0.004135066737007698,-2.468332924965638,0.1675247976160613,0.159955493795451,-0.007569303820610301,-4.518318439015742,-0.0034341155428022074,-2.0499855140501038,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'human toxicity', 'HTPinf')",43.335154192008254,42.7206480131685,-0.6145061788397541,-1.418031596511729,43.335178399327646,42.69695382489317,-0.6382245744344743,-1.4727632330328113,-0.023694188275328543,-0.05473163652108237,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'marine eutrophication', 'MEP')",0.055382343269561,0.0538417203040425,-0.001540622965518497,-2.7817944755783697,0.0553824339550919,0.0538417109768735,-0.0015407229782184034,-2.7819705061495372,-9.327169002426583e-09,-0.00017603057116755139,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('IPCC 2013', 'climate change', 'GWP 100a, incl. H and bio CO2')",4.636835391701063,3.084116787955156,-1.552718603745907,-33.486601800118656,4.636828712190162,3.083609335442622,-1.5532193767475402,-33.49744994168421,-0.0005074525125339235,-0.010848141565553249,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'particulate matter formation', 'PMFP')",0.0532321147924943,0.0498783663083012,-0.003353748484193106,-6.300235294551894,0.0532320298451156,0.0413925683880485,-0.011839461457067102,-22.241236134551524,-0.008485797920252697,-15.941000839999631,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'agricultural land occupation', 'ALOP')",0.1779901753951548,0.3477379783552128,0.169747802960058,95.36919809377234,0.1779905859620422,0.3477398005496483,0.1697492145876061,95.36977119891407,1.8221944355079067e-06,0.0005731051417257049,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'freshwater eutrophication', 'FEP')",0.0100368429757859,0.0091891471447597,-0.0008476958310262,-8.445841317546607,0.0100368771299026,0.0091892132322372,-0.0008476638976654006,-8.445494417182593,6.608747749915767e-08,0.00034690036401485713,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'metal depletion', 'MDP')",19.614969121684418,19.628161381181165,0.013192259496747738,0.06725608087837186,19.61496799383763,19.628161089830066,0.013193095992434678,0.06726034932394236,-2.9135109969047335e-07,4.26844557049888e-06,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'terrestrial acidification', 'TAP100')",0.1929462709892969,0.1800068394066171,-0.012939431582679795,-6.706235635617737,0.1929474765184518,0.1376567645762524,-0.055290711942199394,-28.65583574341895,-0.04235007483036471,-21.949600107801214,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'water depletion', 'WDP')",0.0870271395952046,0.0832344691367835,-0.0037926704584210907,-4.358031846228893,0.0870270517832301,0.0832343088161559,-0.0037927429670742002,-4.358119560939847,-1.6032062760684695e-07,-8.77147109541454e-05,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'urban land occupation', 'ULOP')",0.3317534367384744,0.3414474392623067,0.00969400252383229,2.9220503694357203,0.3317530571601421,0.341446331333556,0.009693274173413924,2.9218341667714722,-1.107928750687659e-06,-0.00021620266424804413,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'ionising radiation', 'IRP_HE')",0.2180898052679178,0.1355119946575234,-0.0825778106103944,-37.86413147966713,0.2180637133732843,0.1355043382068037,-0.08255937516648063,-37.86020786739259,-7.656450719706331e-06,0.003923612274540744,SSP1,Nickel
